joints;type;strain;elasticity;linear density;role;length
"=""157,158""";Push;-0,05950;0,00002;0,00487;ColumnPush;0.34719458
"=""159,160""";Push;-0,06828;0,00002;0,00487;ColumnPush;0.34395460
"=""161,162""";Push;-0,05950;0,00002;0,00487;ColumnPush;0.34719461
"=""163,164""";Push;-0,06828;0,00002;0,00487;ColumnPush;0.34395439
"=""165,166""";Push;-0,05950;0,00002;0,00487;ColumnPush;0.34719454
"=""167,168""";Push;-0,06828;0,00002;0,00487;ColumnPush;0.34395462
"=""169,170""";Push;-0,05950;0,00002;0,00487;ColumnPush;0.34719440
"=""171,172""";Push;-0,06828;0,00002;0,00487;ColumnPush;0.34395456
"=""173,174""";Push;-0,05950;0,00002;0,00487;ColumnPush;0.34719435
"=""175,176""";Push;-0,06828;0,00002;0,00487;ColumnPush;0.34395457
"=""177,178""";Push;-0,05950;0,00002;0,00487;ColumnPush;0.34719454
"=""179,180""";Push;-0,06828;0,00002;0,00487;ColumnPush;0.34395438
"=""181,182""";Push;-0,05950;0,00002;0,00487;ColumnPush;0.34719436
"=""183,184""";Push;-0,06828;0,00002;0,00487;ColumnPush;0.34395480
"=""185,186""";Push;-0,05950;0,00002;0,00487;ColumnPush;0.34719476
"=""187,188""";Push;-0,06828;0,00002;0,00487;ColumnPush;0.34395465
"=""189,190""";Push;-0,05950;0,00002;0,00487;ColumnPush;0.34719431
"=""191,192""";Push;-0,06828;0,00002;0,00487;ColumnPush;0.34395472
"=""121,122""";Push;-0,09042;0,00003;0,00563;ColumnPush;0.44770858
"=""123,124""";Push;-0,06406;0,00003;0,00563;ColumnPush;0.46068093
"=""125,126""";Push;-0,09042;0,00003;0,00563;ColumnPush;0.44770905
"=""127,128""";Push;-0,06406;0,00003;0,00563;ColumnPush;0.46068043
"=""129,130""";Push;-0,09042;0,00003;0,00563;ColumnPush;0.44770905
"=""131,132""";Push;-0,06406;0,00003;0,00563;ColumnPush;0.46068087
"=""133,134""";Push;-0,09042;0,00003;0,00563;ColumnPush;0.44770897
"=""135,136""";Push;-0,06406;0,00003;0,00563;ColumnPush;0.46068071
"=""137,138""";Push;-0,09042;0,00003;0,00563;ColumnPush;0.44770889
"=""139,140""";Push;-0,06406;0,00003;0,00563;ColumnPush;0.46068082
"=""141,142""";Push;-0,09042;0,00003;0,00563;ColumnPush;0.44770888
"=""143,144""";Push;-0,06406;0,00003;0,00563;ColumnPush;0.46068070
"=""145,146""";Push;-0,09042;0,00003;0,00563;ColumnPush;0.44770903
"=""147,148""";Push;-0,06406;0,00003;0,00563;ColumnPush;0.46068039
