joints;type;strain;elasticity;linear density;role;length
"=""181,182""";Push;-0,09606;0,00002;0,00458;ColumnPush;0.29490025
"=""183,184""";Push;-0,05141;0,00002;0,00458;ColumnPush;0.30946920
"=""185,186""";Push;-0,05383;0,00002;0,00458;ColumnPush;0.30867709
"=""187,188""";Push;-0,08634;0,00002;0,00458;ColumnPush;0.29807201
"=""189,190""";Push;-0,06736;0,00002;0,00458;ColumnPush;0.30426600
"=""191,192""";Push;-0,08386;0,00002;0,00458;ColumnPush;0.29888231
"=""193,194""";Push;-0,10775;0,00002;0,00458;ColumnPush;0.29108634
"=""195,196""";Push;-0,04507;0,00002;0,00458;ColumnPush;0.31153582
"=""197,198""";Push;-0,07883;0,00002;0,00458;ColumnPush;0.30052155
"=""199,200""";Push;-0,06386;0,00002;0,00458;ColumnPush;0.30540669
"=""201,202""";Push;-0,05563;0,00002;0,00458;ColumnPush;0.30809161
"=""203,204""";Push;-0,09141;0,00002;0,00458;ColumnPush;0.29641758
"=""205,206""";Push;-0,06923;0,00002;0,00458;NexusPush;0.34741882
"=""207,208""";Push;-0,08636;0,00002;0,00458;NexusPush;0.34102282
"=""209,210""";Push;-0,06855;0,00002;0,00458;NexusPush;0.34767125
"=""211,212""";Push;-0,08279;0,00002;0,00458;NexusPush;0.34235660
"=""213,214""";Push;-0,12834;0,00002;0,00458;NexusPush;0.32535407
"=""215,216""";Push;-0,03600;0,00002;0,00458;NexusPush;0.35982328
"=""157,158""";Push;-0,10305;0,00003;0,00512;ColumnPush;0.36577522
"=""159,160""";Push;-0,04704;0,00003;0,00512;ColumnPush;0.38861744
"=""161,162""";Push;-0,07108;0,00003;0,00512;ColumnPush;0.37881437
"=""163,164""";Push;-0,07387;0,00003;0,00512;ColumnPush;0.37767454
"=""165,166""";Push;-0,07705;0,00003;0,00512;ColumnPush;0.37638131
"=""167,168""";Push;-0,07898;0,00003;0,00512;ColumnPush;0.37559405
"=""169,170""";Push;-0,10710;0,00003;0,00512;ColumnPush;0.36412384
"=""171,172""";Push;-0,04546;0,00003;0,00512;ColumnPush;0.38926378
"=""173,174""";Push;-0,08202;0,00003;0,00512;ColumnPush;0.37435161
"=""175,176""";Push;-0,06606;0,00003;0,00512;ColumnPush;0.38086197
"=""177,178""";Push;-0,06825;0,00003;0,00512;ColumnPush;0.37996968
"=""179,180""";Push;-0,08278;0,00003;0,00512;ColumnPush;0.37404330
"=""133,134""";Push;-0,10052;0,00003;0,00572;ColumnPush;0.45851015
"=""135,136""";Push;-0,04668;0,00003;0,00572;ColumnPush;0.48595536
"=""137,138""";Push;-0,07923;0,00003;0,00572;ColumnPush;0.46936295
"=""139,140""";Push;-0,06875;0,00003;0,00572;ColumnPush;0.47470286
"=""141,142""";Push;-0,06989;0,00003;0,00572;ColumnPush;0.47412326
"=""143,144""";Push;-0,08205;0,00003;0,00572;ColumnPush;0.46792568
"=""145,146""";Push;-0,10496;0,00003;0,00572;ColumnPush;0.45624562
"=""147,148""";Push;-0,04403;0,00003;0,00572;ColumnPush;0.48730825
"=""149,150""";Push;-0,08029;0,00003;0,00572;ColumnPush;0.46882511
"=""151,152""";Push;-0,06816;0,00003;0,00572;ColumnPush;0.47500542
"=""153,154""";Push;-0,06898;0,00003;0,00572;ColumnPush;0.47458805
"=""155,156""";Push;-0,08361;0,00003;0,00572;ColumnPush;0.46712948
"=""109,110""";Push;-0,10006;0,00004;0,00640;ColumnPush;0.57343097
"=""111,112""";Push;-0,04807;0,00004;0,00640;ColumnPush;0.60655654
"=""113,114""";Push;-0,08569;0,00004;0,00640;ColumnPush;0.58259043
"=""115,116""";Push;-0,06642;0,00004;0,00640;ColumnPush;0.59486860
"=""117,118""";Push;-0,06490;0,00004;0,00640;ColumnPush;0.59583346
"=""119,120""";Push;-0,08751;0,00004;0,00640;ColumnPush;0.58143072
"=""121,122""";Push;-0,10537;0,00004;0,00640;ColumnPush;0.57004946
"=""123,124""";Push;-0,04310;0,00004;0,00640;ColumnPush;0.60972368
"=""125,126""";Push;-0,08286;0,00004;0,00640;ColumnPush;0.58439069
"=""127,128""";Push;-0,06821;0,00004;0,00640;ColumnPush;0.59372685
"=""129,130""";Push;-0,06760;0,00004;0,00640;ColumnPush;0.59411489
"=""131,132""";Push;-0,08788;0,00004;0,00640;ColumnPush;0.58119220
"=""85,86""";Push;-0,09901;0,00005;0,00716;ColumnPush;0.71762713
"=""87,88""";Push;-0,05397;0,00005;0,00716;ColumnPush;0.75350153
"=""89,90""";Push;-0,09076;0,00005;0,00716;ColumnPush;0.72419782
"=""91,92""";Push;-0,06434;0,00005;0,00716;ColumnPush;0.74523748
"=""93,94""";Push;-0,06105;0,00005;0,00716;ColumnPush;0.74785674
"=""95,96""";Push;-0,09055;0,00005;0,00716;ColumnPush;0.72436557
"=""97,98""";Push;-0,10472;0,00005;0,00716;ColumnPush;0.71307826
"=""99,100""";Push;-0,04637;0,00005;0,00716;ColumnPush;0.75955171
"=""101,102""";Push;-0,08747;0,00005;0,00716;ColumnPush;0.72681316
"=""103,104""";Push;-0,06680;0,00005;0,00716;ColumnPush;0.74327765
"=""105,106""";Push;-0,06421;0,00005;0,00716;ColumnPush;0.74534041
"=""107,108""";Push;-0,09180;0,00005;0,00716;ColumnPush;0.72336899
"=""49,50""";Push;-0,09794;0,00006;0,00800;ColumnPush;0.89809556
"=""51,52""";Push;-0,05852;0,00006;0,00800;ColumnPush;0.93734084
"=""53,54""";Push;-0,09375;0,00006;0,00800;ColumnPush;0.90226491
"=""55,56""";Push;-0,06228;0,00006;0,00800;ColumnPush;0.93360034
"=""57,58""";Push;-0,05991;0,00006;0,00800;ColumnPush;0.93596156
"=""59,60""";Push;-0,09030;0,00006;0,00800;ColumnPush;0.90570747
"=""73,74""";Push;-0,10254;0,00006;0,00800;ColumnPush;0.89351844
"=""75,76""";Push;-0,05228;0,00006;0,00800;ColumnPush;0.94355270
"=""77,78""";Push;-0,09056;0,00006;0,00800;ColumnPush;0.90544323
"=""79,80""";Push;-0,06437;0,00006;0,00800;ColumnPush;0.93152406
"=""81,82""";Push;-0,06097;0,00006;0,00800;ColumnPush;0.93490662
"=""83,84""";Push;-0,09175;0,00006;0,00800;ColumnPush;0.90426290
"=""13,14""";Push;-0,09664;0,00008;0,00894;ColumnPush;1.12424406
"=""15,16""";Push;-0,05427;0,00008;0,00894;ColumnPush;1.17696239
"=""17,18""";Push;-0,09476;0,00008;0,00894;ColumnPush;1.12657648
"=""19,20""";Push;-0,05875;0,00008;0,00894;ColumnPush;1.17139118
"=""21,22""";Push;-0,06111;0,00008;0,00894;ColumnPush;1.16845717
"=""23,24""";Push;-0,08144;0,00008;0,00894;ColumnPush;1.14314986
"=""37,38""";Push;-0,09740;0,00008;0,00894;ColumnPush;1.12329697
"=""39,40""";Push;-0,04685;0,00008;0,00894;ColumnPush;1.18620007
"=""41,42""";Push;-0,09020;0,00008;0,00894;ColumnPush;1.13224865
"=""43,44""";Push;-0,05209;0,00008;0,00894;ColumnPush;1.17968464
"=""45,46""";Push;-0,06002;0,00008;0,00894;ColumnPush;1.16981449
"=""47,48""";Push;-0,07767;0,00008;0,00894;ColumnPush;1.14784764
"=""1,2""";Push;-0,09635;0,00010;0,01000;NexusPush;1.60835574
"=""3,4""";Push;-0,12273;0,00010;0,01000;NexusPush;1.56140084
"=""5,6""";Push;-0,11620;0,00010;0,01000;NexusPush;1.57302363
"=""7,8""";Push;-0,09238;0,00010;0,01000;NexusPush;1.61542022
"=""9,10""";Push;-0,05928;0,00010;0,01000;NexusPush;1.67432943
"=""11,12""";Push;-0,11759;0,00010;0,01000;NexusPush;1.57054523
"=""25,26""";Push;-0,06335;0,00012;0,01095;ColumnPush;1.74850340
"=""27,28""";Push;-0,07950;0,00012;0,01095;ColumnPush;1.71836101
"=""29,30""";Push;-0,06117;0,00012;0,01095;ColumnPush;1.75256768
"=""31,32""";Push;-0,08236;0,00012;0,01095;ColumnPush;1.71301478
"=""33,34""";Push;-0,06216;0,00012;0,01095;ColumnPush;1.75072117
"=""35,36""";Push;-0,07684;0,00012;0,01095;ColumnPush;1.72332771
"=""61,62""";Push;-0,05011;0,00014;0,01200;ColumnPush;2.12785149
"=""63,64""";Push;-0,07534;0,00014;0,01200;ColumnPush;2.07133552
"=""65,66""";Push;-0,04987;0,00014;0,01200;ColumnPush;2.12839798
"=""67,68""";Push;-0,07548;0,00014;0,01200;ColumnPush;2.07104082
"=""69,70""";Push;-0,05005;0,00014;0,01200;ColumnPush;2.12798829
"=""71,72""";Push;-0,07489;0,00014;0,01200;ColumnPush;2.07234124
"=""183,185""";Pull;0,00000;0,00002;0,00458;Triangle;0.20480827
"=""185,192""";Pull;0,04163;0,00002;0,00458;Ring;0.13233734
"=""192,183""";Pull;0,02155;0,00002;0,00458;Triangle;0.21423530
"=""184,187""";Pull;0,02517;0,00002;0,00458;Triangle;0.21499381
"=""187,189""";Pull;0,02849;0,00002;0,00458;Triangle;0.21568912
"=""189,184""";Pull;0,02371;0,00002;0,00458;Ring;0.13006056
"=""181,188""";Pull;0,03053;0,00002;0,00458;Ring;0.13092692
"=""188,191""";Pull;0,06972;0,00002;0,00458;Triangle;0.22433653
"=""191,181""";Pull;0,03290;0,00002;0,00458;Triangle;0.21661511
"=""188,182""";Pull;0,04288;0,00002;0,00458;Triangle;0.21870804
"=""182,189""";Pull;0,03644;0,00002;0,00458;Triangle;0.21735668
"=""189,188""";Pull;0,03282;0,00002;0,00458;Ring;0.13121698
"=""186,181""";Pull;0,03101;0,00002;0,00458;Triangle;0.21621813
"=""181,192""";Pull;0,04565;0,00002;0,00458;Ring;0.13284801
"=""192,186""";Pull;0,00411;0,00002;0,00458;Triangle;0.21057607
"=""185,184""";Pull;0,02761;0,00002;0,00458;Ring;0.13055570
"=""184,190""";Pull;0,01950;0,00002;0,00458;Triangle;0.21380425
"=""190,185""";Pull;0,00000;0,00002;0,00458;Triangle;0.20751979
"=""195,197""";Pull;0,01243;0,00002;0,00458;Triangle;0.21232251
"=""197,204""";Pull;0,04972;0,00002;0,00458;Ring;0.13336461
"=""204,195""";Pull;0,02032;0,00002;0,00458;Triangle;0.21397724
"=""196,199""";Pull;0,00196;0,00002;0,00458;Triangle;0.21012674
"=""199,201""";Pull;0,02812;0,00002;0,00458;Triangle;0.21561176
"=""201,196""";Pull;0,02362;0,00002;0,00458;Ring;0.13004869
"=""193,200""";Pull;0,03062;0,00002;0,00458;Ring;0.13093789
"=""200,203""";Pull;0,04219;0,00002;0,00458;Triangle;0.21856345
"=""203,193""";Pull;0,05912;0,00002;0,00458;Triangle;0.22211321
"=""200,194""";Pull;0,02720;0,00002;0,00458;Triangle;0.21541913
"=""194,201""";Pull;0,03538;0,00002;0,00458;Triangle;0.21713434
"=""201,200""";Pull;0,02246;0,00002;0,00458;Ring;0.12990092
"=""198,193""";Pull;0,06556;0,00002;0,00458;Triangle;0.22346421
"=""193,204""";Pull;0,03837;0,00002;0,00458;Ring;0.13192231
"=""204,198""";Pull;0,00724;0,00002;0,00458;Triangle;0.21123405
"=""197,196""";Pull;0,03922;0,00002;0,00458;Ring;0.13203065
"=""196,202""";Pull;0,00000;0,00002;0,00458;Triangle;0.20407757
"=""202,197""";Pull;0,02196;0,00002;0,00458;Triangle;0.21432080
"=""211,207""";Pull;0,02683;0,00002;0,00458;Triangle;0.21534183
"=""207,215""";Pull;0,01230;0,00002;0,00458;Triangle;0.21229396
"=""215,211""";Pull;0,01303;0,00002;0,00458;Triangle;0.21244856
"=""207,209""";Pull;0,00704;0,00002;0,00458;Triangle;0.21119039
"=""209,216""";Pull;0,00500;0,00002;0,00458;Triangle;0.21076366
"=""216,207""";Pull;0,02909;0,00002;0,00458;Triangle;0.21581523
"=""208,211""";Pull;0,01380;0,00002;0,00458;Triangle;0.21260925
"=""211,213""";Pull;0,03114;0,00002;0,00458;Triangle;0.21624583
"=""213,208""";Pull;0,04136;0,00002;0,00458;Triangle;0.21838919
"=""205,212""";Pull;0,00000;0,00002;0,00458;Triangle;0.20860452
"=""212,215""";Pull;0,01017;0,00002;0,00458;Triangle;0.21184735
"=""215,205""";Pull;0,02033;0,00002;0,00458;Triangle;0.21397946
"=""210,205""";Pull;0,01871;0,00002;0,00458;Triangle;0.21363821
"=""205,216""";Pull;0,00370;0,00002;0,00458;Triangle;0.21049160
"=""216,210""";Pull;0,01843;0,00002;0,00458;Triangle;0.21358113
"=""206,210""";Pull;0,01155;0,00002;0,00458;Triangle;0.21213827
"=""210,214""";Pull;0,02551;0,00002;0,00458;Triangle;0.21506481
"=""214,206""";Pull;0,00248;0,00002;0,00458;Triangle;0.21023514
"=""209,190""";Pull;0,05747;0,00002;0,00458;Ring;0.13434956
"=""209,186""";Pull;0,01422;0,00002;0,00458;Ring;0.12885441
"=""209,185""";Pull;0,01133;0,00002;0,00458;ColumnCross;0.21209039
"=""190,210""";Pull;0,02245;0,00002;0,00458;ColumnCross;0.21442352
"=""208,186""";Pull;0,05276;0,00002;0,00458;Ring;0.13375085
"=""208,182""";Pull;0,03116;0,00002;0,00458;Ring;0.13100640
"=""208,181""";Pull;0,04840;0,00002;0,00458;ColumnCross;0.21986570
"=""186,207""";Pull;0,04886;0,00002;0,00458;ColumnCross;0.21996214
"=""214,182""";Pull;0,06097;0,00002;0,00458;Ring;0.13479385
"=""214,190""";Pull;0,04655;0,00002;0,00458;Ring;0.13296202
"=""214,189""";Pull;0,00963;0,00002;0,00458;ColumnCross;0.21173581
"=""182,213""";Pull;0,04526;0,00002;0,00458;ColumnCross;0.21920604
"=""212,194""";Pull;0,07264;0,00002;0,00458;Ring;0.13627704
"=""212,202""";Pull;0,02787;0,00002;0,00458;Ring;0.13058817
"=""212,201""";Pull;0,00000;0,00002;0,00458;ColumnCross;0.19651000
"=""194,211""";Pull;0,03388;0,00002;0,00458;ColumnCross;0.21682015
"=""206,202""";Pull;0,05509;0,00002;0,00458;Ring;0.13404739
"=""206,198""";Pull;0,02473;0,00002;0,00458;Ring;0.13018943
"=""206,197""";Pull;0,01425;0,00002;0,00458;ColumnCross;0.21270428
"=""202,205""";Pull;0,04761;0,00002;0,00458;ColumnCross;0.21969973
"=""213,198""";Pull;0,04479;0,00002;0,00458;Ring;0.13273782
"=""213,194""";Pull;0,05814;0,00002;0,00458;Ring;0.13443398
