index;x;y;z
1;0,28910;-0,23696;2,51156
2;0,15258;-1,57354;3,39571
3;-0,48644;-0,50360;2,05040
4;-0,57675;-1,85063;2,83483
5;-1,08808;-1,01978;2,56388
6;0,11981;-0,56240;3,46178
7;-0,49216;-1,52225;2,01360
8;0,80472;-1,02874;2,84072
9;0,30217;-1,80058;2,41143
10;-0,74243;-1,09734;3,51489
11;0,35847;-0,98597;1,97579
12;-0,63032;-0,19964;2,90884
13;-1,26906;-0,57601;2,42991
14;-1,05528;0,16888;1,61544
15;-0,71147;-0,74595;2,94740
16;-0,65852;-0,01518;2,02631
17;-0,68213;-0,04751;2,53003
18;-1,67036;-0,00830;1,99055
19;-0,22037;-0,44639;2,54538
20;-1,21229;-0,57135;1,93494
21;-0,72265;-0,49711;1,91672
22;-1,13830;0,54935;2,22889
23;-0,62197;-1,05492;2,25811
24;-1,16967;-0,12275;2,62942
25;-0,55842;-2,03451;1,57182
26;-0,67939;-3,61848;2,30235
27;0,14718;-1,26899;1,98491
28;-0,14746;-2,82359;2,65511
29;0,37895;-2,41745;2,31003
30;-0,81554;-3,20757;1,29988
31;0,07084;-1,68938;3,05133
32;-1,00861;-2,47978;1,98153
33;-0,80451;-2,45914;2,70256
34;0,19347;-3,44657;1,65660
35;-0,95785;-1,38251;2,51609
36;0,07709;-2,43080;1,62175
37;1,06600;-0,82796;2,46249
38;1,11483;0,16435;1,93834
39;0,43911;-1,25568;2,44936
40;0,61409;-0,18140;1,97777
41;0,54710;-0,67448;1,89310
42;1,62637;-0,37570;2,06010
43;-0,00458;-0,62668;2,22769
44;1,08634;-0,34631;2,57831
45;0,62810;-0,18912;2,47415
46;1,13799;-0,36815;1,43664
47;0,39740;-0,65288;2,91591
48;0,99856;-0,88549;1,96615
49;-1,67494;0,36473;1,74715
50;-1,18518;0,77128;1,11356
51;-1,36142;0,16757;2,27650
52;-0,99821;0,58438;1,51956
53;-1,10507;0,63296;1,90584
54;-1,74230;0,84662;1,30387
55;-0,89110;0,21576;2,03823
56;-1,54677;0,28756;1,37751
57;-1,16248;0,22685;1,45352
58;-1,23662;1,15508;1,54800
59;-1,30655;-0,17899;1,78806
60;-1,50374;0,69823;1,89720
61;-0,89920;-3,80267;0,80310
62;-0,86879;-5,73081;1,70261
63;-0,09719;-2,83836;1,15390
64;-0,15017;-4,73591;1,98272
65;0,34233;-4,18746;1,47551
66;-1,19941;-5,17762;0,39259
67;0,11009;-3,38232;2,47049
68;-1,32449;-4,37532;1,35463
69;-0,94035;-4,34051;2,16211
70;0,19258;-5,44729;0,74089
71;-1,22780;-3,07737;2,02070
72;-0,11852;-4,22837;0,70187
73;1,71835;-0,08764;1,73880
74;1,44861;0,71704;1,45934
75;1,28587;-0,55077;1,81344
76;1,14889;0,34459;1,54914
77;1,15703;-0,04286;1,43632
78;1,94762;0,38841;1,34247
79;0,88599;-0,19595;1,77859
80;1,67941;0,27836;1,89375
81;1,28402;0,29553;1,92021
82;1,42811;0,34589;0,99785
83;1,29142;-0,13790;2,24133
84;1,54847;-0,12758;1,37444
85;-1,59619;1,10044;1,08738
86;-1,02688;1,20001;0,66200
87;-1,51056;0,92986;1,57220
88;-1,00750;1,05739;1,02592
89;-1,13111;1,15885;1,30598
90;-1,44324;1,44275;0,71739
91;-1,11756;0,81836;1,46906
92;-1,46907;0,96376;0,82822
93;-1,21639;0,82589;0,96128
94;-1,02286;1,54792;0,98378
95;-1,49536;0,59972;1,21841
96;-1,40090;1,31788;1,22470
97;1,87380;0,65290;1,10837
98;1,47505;1,24309;1,07424
99;1,66150;0,19972;1,22202
100;1,34541;0,88871;1,17414
101;1,37517;0,59242;1,05055
102;1,85271;1,07200;0,78556
103;1,30419;0,40440;1,33858
104;1,83689;0,91963;1,28162
105;1,55418;0,85572;1,41114
106;1,38470;0,96599;0,69375
107;1,71836;0,50266;1,59350
108;1,65128;0,60153;0,88007
109;-1,23282;1,58102;0,57763
110;-0,73084;1,48044;0,31931
111;-1,29180;1,45790;0,96535
112;-0,80230;1,37752;0,61630
113;-0,91024;1,50390;0,81299
114;-0,98472;1,79849;0,31592
115;-1,01591;1,25647;0,94775
116;-1,14355;1,42840;0,39275
117;-1,01151;1,26136;0,53171
118;-0,68816;1,75983;0,57628
119;-1,31958;1,18453;0,69697
120;-1,04942;1,69905;0,71566
121;1,68699;1,24559;0,64206
122;1,31570;1,66498;0,74793
123;1,64188;0,87321;0,77214
124;1,28905;1,36184;0,86440
125;1,32156;1,13297;0,75117
126;1,52435;1,55665;0,40348
127;1,38132;0,98127;0,98828
128;1,67906;1,45494;0,78955
129;1,51874;1,37609;0,97073
130;1,17792;1,41636;0,48577
131;1,74121;1,11789;1,04533
132;1,46364;1,17042;0,53741
133;-0,77962;1,86212;0,26086
134;-0,38082;1,69488;0,10846
135;-0,91210;1,76800;0,53481
136;-0,50079;1,60587;0,33310
137;-0,58989;1,72280;0,47654
138;-0,51575;2,00400;0,10812
139;-0,74448;1,53272;0,54525
140;-0,71626;1,73274;0,11567
141;-0,66610;1,56625;0,22244
142;-0,34433;1,89482;0,33776
143;-0,94807;1,57206;0,31099
144;-0,63684;1,90944;0,40189
145;1,33952;1,63938;0,33409
146;1,03752;1,94878;0,47980
147;1,40013;1,37042;0,46434
148;1,08701;1,71300;0,61287
149;1,11566;1,52877;0,52608
150;1,11405;1,83611;0,17204
151;1,25349;1,44511;0,70807
152;1,34474;1,81978;0,43071
153;1,28252;1,76664;0,61739
154;0,89985;1,70313;0,34395
155;1,50658;1,59211;0,62874
156;1,15555;1,54736;0,32380
157;-0,34512;2,02800;0,11727
158;-0,02515;1,86586;0,04570
159;-0,51121;1,94918;0,28581
160;-0,17374;1,78359;0,18725
161;-0,25957;1,87233;0,29459
162;-0,10310;2,13081;0,06612
163;-0,41388;1,72583;0,28808
164;-0,28323;1,93218;0,00000
165;-0,27870;1,78119;0,06350
166;-0,03442;2,00031;0,24783
167;-0,51946;1,82160;0,08996
168;-0,25739;2,03270;0,25678
169;0,94811;1,86640;0,16117
170;0,71955;2,10652;0,31180
171;1,06553;1,68584;0,26998
172;0,82204;1,94405;0,42989
173;0,84591;1,78991;0,37736
174;0,70940;1,97260;0,08050
175;1,00863;1,76602;0,48544
176;0,95361;2,02261;0,20941
177;0,96084;2,00447;0,37118
178;0,61233;1,87906;0,28639
179;1,15357;1,89094;0,34174
180;0,82125;1,77597;0,21427
181;0,01725;2,13623;0,12458
182;0,27899;2,00389;0,15533
183;-0,15316;2,06551;0,18967
184;0,12314;1,92629;0,19654
185;0,02198;1,98300;0,25649
186;0,21614;2,20721;0,17100
187;-0,08466;1,87338;0,18101
188;0,09889;2,06746;0,04876
189;0,08937;1,93858;0,07154
190;0,18875;2,09181;0,31490
191;-0,11049;1,98921;0,02976
192;0,04618;2,11303;0,25214
193;0,57556;1,98847;0,11548
194;0,43420;2,19077;0,26983
195;0,71643;1,86753;0,18559
196;0,55839;2,09200;0,33287
197;0,57965;1,96263;0,31722
198;0,36042;2,04714;0,12984
199;0,72332;1,96248;0,34614
200;0,57876;2,11884;0,12723
201;0,64102;2,13148;0,24053
202;0,37113;2,01105;0,32757
203;0,77799;2,04911;0,18389
204;0,51114;1,92272;0,20998
205;0,34371;2,17657;0,46941
206;0,39614;1,95120;0,21027
207;0,23109;2,28388;0,37662
208;0,23148;2,10470;0,08647
209;0,11284;2,17397;0,24048
210;0,33614;1,97071;0,41281
