joints;type;strain;elasticity;linear density;role;length
"=""1,2""";Push;-0,06002;0,00010;0,01000;NexusPush;1.67300778
"=""3,4""";Push;-0,06002;0,00010;0,01000;NexusPush;1.67300797
"=""5,6""";Push;-0,06002;0,00010;0,01000;NexusPush;1.67300779
"=""7,8""";Push;-0,06002;0,00010;0,01000;NexusPush;1.67300796
"=""9,10""";Push;-0,06002;0,00010;0,01000;NexusPush;1.67300800
"=""11,12""";Push;-0,06002;0,00010;0,01000;NexusPush;1.67300796
"=""7,3""";Pull;0,02450;0,00010;0,01000;Triangle;1.02450398
"=""3,11""";Pull;0,02450;0,00010;0,01000;Triangle;1.02450388
"=""11,7""";Pull;0,02450;0,00010;0,01000;Triangle;1.02450393
"=""3,5""";Pull;0,02450;0,00010;0,01000;Triangle;1.02450398
"=""5,12""";Pull;0,02450;0,00010;0,01000;Triangle;1.02450395
"=""12,3""";Pull;0,02450;0,00010;0,01000;Triangle;1.02450381
"=""4,7""";Pull;0,02450;0,00010;0,01000;Triangle;1.02450385
"=""7,9""";Pull;0,02450;0,00010;0,01000;Triangle;1.02450390
"=""9,4""";Pull;0,02450;0,00010;0,01000;Triangle;1.02450391
"=""1,8""";Pull;0,02450;0,00010;0,01000;Triangle;1.02450395
"=""8,11""";Pull;0,02450;0,00010;0,01000;Triangle;1.02450385
"=""11,1""";Pull;0,02450;0,00010;0,01000;Triangle;1.02450398
"=""8,2""";Pull;0,02450;0,00010;0,01000;Triangle;1.02450395
"=""2,9""";Pull;0,02450;0,00010;0,01000;Triangle;1.02450390
"=""9,8""";Pull;0,02450;0,00010;0,01000;Triangle;1.02450395
"=""6,1""";Pull;0,02450;0,00010;0,01000;Triangle;1.02450407
"=""1,12""";Pull;0,02450;0,00010;0,01000;Triangle;1.02450387
"=""12,6""";Pull;0,02450;0,00010;0,01000;Triangle;1.02450395
"=""5,4""";Pull;0,02450;0,00010;0,01000;Triangle;1.02450392
"=""4,10""";Pull;0,02450;0,00010;0,01000;Triangle;1.02450401
"=""10,5""";Pull;0,02450;0,00010;0,01000;Triangle;1.02450402
"=""2,6""";Pull;0,02450;0,00010;0,01000;Triangle;1.02450394
"=""6,10""";Pull;0,02450;0,00010;0,01000;Triangle;1.02450391
"=""10,2""";Pull;0,02450;0,00010;0,01000;Triangle;1.02450382
